accept accepted
accessible accessible
account account
action actions
acèh acèh
add add
additional additional
afrikaans afrikaans
ago ago
agree agree
alemannisch alemannisch
allows allows
alpha alpha
already already
also also
alternative alternatives
american american
android android
anyone anyone
appear appear
appearance appearance
apply apply
aragonés aragonés
arc arc
arch arch
arm arm
around around
article article articles
assembly assembly
asturianu asturianu
audi audi
author authors
auto auto
automation automation
automobile automobiles
available available
avañe avañe
avoid avoided
ayisyen ayisyen
azərbaycanca azərbaycanca
bahasa bahasa
banyumasan banyumasan
basa basa
base base based
become became
big big
boarisch boarisch
bokmål bokmål
bootloader bootloader
bosanski bosanski
brezhoneg brezhoneg
build built
busybox busybox
call called calls
capsule capsule
català català
category categories
cause causing
cebuano cebuano
change changes
check checked
chromebook chromebook
chromeos chromeos
cite cite
clarification clarification
clone clone
cloud cloud
code code
collaboration collaboration
combine combined
commercial commercial
commercially commercially
common commons
community community
competitor competitors
complete complete
component components
compute computing
computer computers
conduct conduct
confine confined
console consoles
contact contact contacts
contain containing
content content contents
contribute contribute
contributor contributors
control controls
controversy controversy
cookie cookie
copyleft copyleft
copyright copyright
corsu corsu
create create creating
creation creation
creative creative
crew crew
current current
cymraeg cymraeg
dansk dansk
date dated dates
de de
debian debian
december december
default default
description description
design design designed
desktop desktop
deutsch deutsch
develop developed
developer developer developers
development development
device devices
different different
directly directly
disambiguation disambiguation
disclaimer disclaimers
displace displaced
display display
distribute distributed
distribution distribution distributions
distro distro
dolnoserbski dolnoserbski
dominance dominance
dominates dominates
donate donate
download download
dragon dragon
easy easier
edit edit edited
education education
educative educative
eesti eesti
effectively effectively
embed embedded
emphasize emphasize
encyclopedia encyclopedia
english english
enterprise enterprise
entirely entirely
environment environment
español español
esperanto esperanto
euskara euskara
event events
example example examples
exception exception
exist exist
extension extension
external external
falcon falcon
family family
fast fastest
february february
fedora fedora
file file
finnish finnish
firmware firmware
first first
follow following
foundation foundation
franca franca
français français
free free
frequently frequently
fresh fresh
frysk frysk
gaeilge gaeilge
galego galego
game game
general general
get get
git git
gnome gnome
gnu gnu
gpl gpl
gradually gradually
graphical graphical
group group
gui gui
hardware hardware
hat hat
helicopter helicopter
help help
hexagon hexagon
hidden hidden
hide hide
highly highly
history history
home home
hornjoserbsce hornjoserbsce
hrvatski hrvatski
http https
hyundai hyundai
ido ido
ii ii
image image images
importance importance
include include includes including
indirectly indirectly
indonesia indonesia
influence influenced
information information
infrastructure infrastructure
ingenuity ingenuity
initial initial
input input
instal installed
intend intended
interface interface
interlingua interlingua
internet internet
invention inventions
ipa ipa
iron iron
isa isa
issue issues
italiano italiano
item item
jawa jawa
jump jump
kaszëbsczi kaszëbsczi
kde kde
kel kel
kernel kernel
key key
kiswahili kiswahili
kreyòl kreyòl
kurdî kurdî
la la
lack lack
lamp lamp
language language
languages languages
large largest
last last
late latest
later later
latina latina
latviešu latviešu
lead leading leads
learn learn
legal legal
lg lg
library libraries
license license licensed licenses
lietuvių lietuvių
ligure ligure
like like
lin lin
lingua lingua
lingála lingála
link link links
linus linus
linux linux
list list
log log
lombard lombard
loongarch loongarch
lëtzebuergesch lëtzebuergesch
macos macos
magyar magyar
main main
mainframe mainframe mainframes
maint maint
make made make
malagasy malagasy
manager manager
many many
mar mars
march march
market market marketing
mascot mascot
match matches
may may
mdy mdy
mean means
melayu melayu
menu menu
microblaze microblaze
microsoft microsoft
million million
minix minix
mint mint
mips mips
mobile mobile
model model
modify modified
monolithic monolithic
move move
multilingual multilingual
multiple multiple
māori māori
name name naming
names names
navigation navigation
nearly nearly
nederland nederlands
nedersaksies nedersaksies
need needed
needing needing
nios nios
norsk norsk
note notes
notebook notebook
nova nova
novel novel
november november
numeric numeric
nynorsk nynorsk
occitan occitan
october october
official official
one one
open open
openrisc openrisc
operate operating
organization organization
originally originally
os os
overview overview
oʻzbekcha oʻzbekcha
package package packaged
page page pages
pc pcs
pdf pdf
pending pending
penguin penguin
percent percent
permanent permanent
permit permitted
personal personal
phonos phonos
piemontèis piemontèis
plain plain
plan plan
plasma plasma
